"By administrative divisions(eup, myeon, dong)",Female (Person),Korean - Female (Person),Foreigner-Female (Person)
Dobong-gu,166582,164642,1940
Dongdaemun-gu,180933,168736,12197
Dongjak-gu,206319,196639,9680
Eunpyeong-gu,239454,235857,3597
Gangbuk-gu,156759,153501,3258
Gangdong-gu,210480,207009,3471
Gangnam-gu,264796,260425,4371
Gangseo-gu,296732,291845,4887
Geumcheon-gu,122505,109907,12598
Guro-gu,218187,197248,20939
Gwanak-gu,253746,240271,13475
Gwangjin-gu,185739,174288,11451
Jongno-gu,80089,72748,7341
Jung-gu,67551,61017,6534
Jungnang-gu,195800,191671,4129
Mapo-gu,195434,187206,8228
Nowon-gu,269818,266417,3401
Seocho-gu,210765,207103,3662
Seodaemun-gu,170281,159993,10288
Seongbuk-gu,231495,222564,8931
Seongdong-gu,153058,146894,6164
Songpa-gu,334875,329383,5492
Yangcheon-gu,224276,220922,3354
Yeongdeungpo-gu,197180,174835,22345
Yongsan-gu,116247,107365,8882
