"By administrative divisions(eup, myeon, dong)",Male (Person),Korean - male (Person),Foreigner-Male (Person)
Dobong-gu,156961,155581,1380
Dongdaemun-gu,174161,165309,8852
Dongjak-gu,194049,185757,8292
Eunpyeong-gu,222076,219283,2793
Gangbuk-gu,147112,145024,2088
Gangdong-gu,204807,201609,3198
Gangnam-gu,244403,239049,5354
Gangseo-gu,277365,273209,4156
Geumcheon-gu,127242,112286,14956
Guro-gu,217373,192276,25097
Gwanak-gu,254082,242205,11877
Gwangjin-gu,174027,164553,9474
Jongno-gu,74880,69062,5818
Jung-gu,63406,57381,6025
Jungnang-gu,190531,187569,2962
Mapo-gu,173893,167814,6079
Nowon-gu,252662,249784,2878
Seocho-gu,194195,189922,4273
Seodaemun-gu,149113,143082,6031
Seongbuk-gu,213832,207211,6621
Seongdong-gu,146630,141020,5610
Songpa-gu,313725,308300,5425
Yangcheon-gu,216078,213211,2867
Yeongdeungpo-gu,196903,171068,25835
Yongsan-gu,110934,99313,11621
